tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
207,139,0.49640287769784175,0.23741007194244604,0.48201438848920863,0.2805755395683453,0.5683453237410072,0.17985611510791366,0.17985611510791366,0.02877697841726619,0.04316546762589928,0.19424460431654678,0.16546762589928057,0.2014388489208633,0.2014388489208633
208,18605,0.48664337543671055,0.21010481053480248,0.5701693093254502,0.2197258801397474,0.7437785541521097,0.16866433754367105,0.05815640956732061,0.01123353937113679,0.01816715936576189,0.11776404192421393,0.17543671056167698,0.2334856221445848,0.26320881483472186
209,3272,0.49786063569682154,0.20385085574572126,0.58679706601467,0.2093520782396088,0.7139364303178484,0.0843520782396088,0.17512224938875307,0.007640586797066014,0.018948655256723717,0.07212713936430318,0.14028117359413203,0.19926650366748166,0.38447432762836187
210,20848,0.47390636991557944,0.18836339217191098,0.5395241749808135,0.27211243284727554,0.7101400613967767,0.11737336914811973,0.15392363775901766,0.006331542594013815,0.012231389102072141,0.09382194934765925,0.16562739831158865,0.22793553338449732,0.32425172678434383
211,3929,0.4968185288877577,0.267752608806312,0.5299058284550776,0.20234156273861034,0.812420463222194,0.06210231611096971,0.1007890048358361,0.00687197760244337,0.017816238228556883,0.062356833799949093,0.13005853906846526,0.17968948841944515,0.36014252990582846
212,12594,0.48396061616642844,0.2469429887247896,0.5618548515165952,0.1912021597586152,0.5479593457201842,0.33222169286962044,0.084167063681118,0.014689534699063046,0.02096236303001429,0.15555026202953787,0.18913768461171987,0.22248689852310624,0.18588216611084643
213,19940,0.4598294884653962,0.24062186559679036,0.5668004012036109,0.19257773319959878,0.4737713139418255,0.45035105315947843,0.0380641925777332,0.014994984954864593,0.022818455366098295,0.15857572718154464,0.1907221664994985,0.23164493480441323,0.17843530591775325
214,10501,0.4944291019902866,0.2080754213884392,0.5536615560422817,0.23826302256927911,0.8233501571278926,0.07294543376821255,0.08418245881344634,0.005142367393581563,0.014379582896866965,0.08418245881344634,0.1568422055042377,0.21988382058851538,0.3310160937053614
215,15488,0.4449251033057851,0.2264979338842975,0.5506844008264463,0.2228176652892562,0.2753099173553719,0.6165418388429752,0.07651084710743801,0.01265495867768595,0.018982438016528925,0.13610537190082644,0.19602272727272727,0.24347882231404958,0.19789514462809918
216,33271,0.5021189624597998,0.213579393465781,0.5545369841603799,0.23188362237383908,0.4430585194313366,0.3035075591355835,0.19653752517207176,0.02194102972558685,0.03495536653542124,0.1386192179375432,0.18226082774788854,0.22758558504403234,0.2379549758047549
217,9252,0.5238867271941202,0.32641591007349763,0.4878945092952875,0.18568958063121488,0.8615434500648509,0.08971033290099438,0.030587980977086034,0.006593169044530912,0.01156506701253783,0.10473411154345007,0.1690445309122352,0.19552529182879377,0.20428015564202334
218,9633,0.4241669261912177,0.20128724177307172,0.5552787293677982,0.24343402885913007,0.1610090314543756,0.7833489048063946,0.03488009965742759,0.005086681200041524,0.015675282881760615,0.13069656389494447,0.21239489255683588,0.2609778885082529,0.19464341326689505
219,8292,0.43909792571152917,0.19705740472744815,0.566931982633864,0.2360106126386879,0.20477568740955138,0.7237095996140859,0.04703328509406657,0.008803666184273999,0.01567776169802219,0.12891944042450554,0.20477568740955138,0.2655571635311143,0.2036903039073806
220,13445,0.48211230940870214,0.18534771290442545,0.5627370769802901,0.2519152101152845,0.735738192636668,0.16957976943101524,0.06790628486426181,0.007809594644849386,0.01896615842320565,0.11015247303830421,0.17039791744142804,0.2310152473038304,0.3030866493120119
221,11052,0.4809989142236699,0.22330799855229821,0.5475027144408252,0.22918928700687657,0.6394317770539268,0.22176981541802387,0.11147303655446977,0.007328990228013029,0.019996380745566412,0.11337314513210278,0.1566232356134636,0.2288273615635179,0.27786825913861746
222,5745,0.41984334203655355,0.23533507397737163,0.5378590078328982,0.2268059181897302,0.3865970409051349,0.5516100957354221,0.0402088772845953,0.005918189730200174,0.015665796344647518,0.12306353350739774,0.1888598781549173,0.24160139251523063,0.21114012184508268
223,25992,0.5118497999384426,0.2466143428747307,0.5814096645121576,0.17197599261311172,0.8202908587257618,0.06779008925823331,0.08775777162203754,0.006886734379809172,0.017274546014158204,0.09087411511234227,0.1492382271468144,0.2082179132040628,0.30505540166204986
